"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"392",15,"Kyle Williams",FA,"WR152","210","210","210.0","0.0","-"
"393",15,"Arian Smith",FA,"WR153","213","213","213.0","0.0","-"
"394",15,"Odell Beckham Jr.",FA,"WR154","246","307","276.5","30.5","-"
"395",15,"Evan Hull",PIT,"RB125","245","309","277.0","32.0","-"
"396",15,"Jaylin Lane",FA,"WR155","237","319","278.0","41.0","-"
"397",15,"Michael Carter",ARI,"RB126","294","329","314.0","12.0","-"
"398",15,"Phil Mafah",FA,"RB127","270","295","282.5","12.5","-"
"399",15,"Harrison Bryant",PHI,"TE68","283","324","301.0","17.1","-"
"400",15,"Kadarius Toney",FA,"WR156","253","314","283.5","30.5","-"
"401",15,"Cooper Rush",BAL,"QB50","233","233","233.0","0.0","-"
"402",15,"Jake Browning",CIN,"QB51","234","234","234.0","0.0","-"
"403",15,"Jacoby Brissett",ARI,"QB52","235","235","235.0","0.0","-"
"404",15,"Grant Calcaterra",PHI,"TE69","247","328","287.5","40.5","-"
"405",15,"Cordarrelle Patterson",PIT,"RB128","258","319","288.5","30.5","-"
"406",15,"Blake Watson",DEN,"RB129","269","311","290.0","21.0","-"
"407",15,"Johnny Wilson",PHI,"WR157","262","336","306.7","32.1","-"
"408",15,"Jaheim Bell",NE,"TE70","303","310","307.0","2.9","-"
"409",15,"Brevin Jordan",HOU,"TE71","292","371","318.3","37.2","-"
"410",15,"Olamide Zaccheaus",CHI,"WR158","249","249","249.0","0.0","-"
"411",15,"Jacory Croskey-Merritt",FA,"RB130","249","249","249.0","0.0","-"
"412",15,"Isaiah Hodgins",SF,"WR159","249","382","315.5","66.5","-"
"413",15,"Bub Means",NO,"WR160","270","377","321.7","43.8","-"
"414",15,"Deuce Vaughn",DAL,"RB131","277","349","313.0","29.4","-"
"415",15,"Zach Wilson",MIA,"QB53","254","254","254.0","0.0","-"
"416",15,"Kyle McCord",FA,"QB54","254","254","254.0","0.0","-"
"417",15,"Will Howard",FA,"QB55","258","258","258.0","0.0","-"
"418",15,"Joshua Simon",FA,"TE72","259","259","259.0","0.0","-"
"419",15,"Josh Reynolds",NYJ,"WR161","298","298","298.0","0.0","-"
"420",15,"Malik Willis",GB,"QB56","260","260","260.0","0.0","-"
"421",15,"Van Jefferson",TEN,"WR162","269","334","311.3","30.0","-"
"422",15,"Brenden Rice",LAC,"WR163","267","332","299.5","32.5","-"
"423",15,"Bo Melton",GB,"WR164","289","312","300.5","11.5","-"
"424",15,"Josh Oliver",MIN,"TE73","293","308","300.5","7.5","-"
"425",15,"Gardner Minshew II",KC,"QB57","266","266","266.0","0.0","-"
"426",15,"Efton Chism III",FA,"WR165","267","267","267.0","0.0","-"
"427",15,"Cody Schrader",LAR,"RB132","267","344","305.5","38.5","-"
"428",15,"Kalif Raymond",DET,"WR166","272","334","303.0","31.0","-"
"429",16,"Jacorey Brooks",FA,"WR167","272","272","272.0","0.0","-"
"430",16,"Tylan Wallace",BAL,"WR168","274","274","274.0","0.0","-"
"431",16,"Patrick Taylor Jr.",SF,"RB133","277","277","277.0","0.0","-"
"432",16,"DJ Chark Jr.",FA,"WR169","279","279","279.0","0.0","-"
"433",16,"Jase McClellan",ATL,"RB134","279","279","279.0","0.0","-"
"434",16,"Nick Mullens",JAC,"QB58","281","281","281.0","0.0","-"
"435",16,"Tyrod Taylor",NYJ,"QB59","282","282","282.0","0.0","-"
"436",16,"Julian Fleming",FA,"WR170","282","282","282.0","0.0","-"
"437",16,"Logan Thomas",FA,"TE74","283","283","283.0","0.0","-"
"438",16,"Marcus Mariota",WAS,"QB60","283","283","283.0","0.0","-"
"439",16,"Adam Trautman",DEN,"TE75","284","389","336.5","52.5","-"
"440",16,"Jamaal Pritchett",FA,"WR171","285","285","285.0","0.0","-"
"441",16,"Taylor Heinicke",LAC,"QB61","286","286","286.0","0.0","-"
"442",16,"Albert Okwuegbunam Jr.",IND,"TE76","286","286","286.0","0.0","-"
"443",16,"Darrell Henderson Jr.",FA,"RB135","286","286","286.0","0.0","-"
"444",16,"Allen Lazard",NYJ,"WR172","308","315","311.5","3.5","-"
"445",16,"Hunter Long",JAC,"TE77","286","370","328.0","42.0","-"
"446",16,"Kyle Trask",FA,"QB62","287","287","287.0","0.0","-"
"447",16,"Terrace Marshall Jr.",PHI,"WR173","287","287","287.0","0.0","-"
"448",16,"Ainias Smith",PHI,"WR174","306","365","330.3","25.2","-"
"449",16,"Drew Lock",SEA,"QB63","290","290","290.0","0.0","-"
"450",16,"Robert Tonyan",KC,"TE78","291","291","291.0","0.0","-"
"451",16,"Xavier Hutchinson",HOU,"WR175","299","329","314.0","15.0","-"
"452",16,"Xavier Gipson",NYJ,"WR176","293","293","293.0","0.0","-"
"453",16,"Bryson Nesbit",FA,"TE79","293","293","293.0","0.0","-"
"454",16,"John Bates",WAS,"TE80","294","393","343.5","49.5","-"
"455",16,"Charlie Kolar",BAL,"TE81","297","297","297.0","0.0","-"
"456",16,"Raheem Blackshear",CAR,"RB136","297","343","320.0","23.0","-"
"457",16,"Carson Wentz",FA,"QB64","299","299","299.0","0.0","-"
"458",16,"Donald Parham Jr.",PIT,"TE82","300","352","326.0","26.0","-"
"459",16,"Hunter Renfrow",FA,"WR177","305","305","305.0","0.0","-"
"460",16,"Da'Quan Felton",FA,"WR178","305","305","305.0","0.0","-"
"461",16,"Michael Thomas",FA,"WR179","306","306","306.0","0.0","-"
"462",16,"Josh Whyle",TEN,"TE83","306","306","306.0","0.0","-"
"463",16,"Tyler Scott",CHI,"WR180","307","338","322.5","15.5","-"
"464",16,"Cole Turner",WAS,"TE84","308","372","340.0","32.0","-"
"465",16,"Chase Claypool",FA,"WR181","309","309","309.0","0.0","-"
"466",16,"Donovan Peoples-Jones",FA,"WR182","310","310","310.0","0.0","-"
"467",16,"Tip Reiman",ARI,"TE85","310","310","310.0","0.0","-"
"468",16,"Nelson Agholor",FA,"WR183","312","312","312.0","0.0","-"
"469",16,"Leonard Fournette",FA,"RB137","313","313","313.0","0.0","-"
"470",16,"Will Mallory",IND,"TE86","315","374","344.5","29.5","-"
"471",16,"Stone Smartt",NYJ,"TE87","316","316","316.0","0.0","-"
"472",16,"Jalen Guyton",FA,"WR184","317","317","317.0","0.0","-"
"473",16,"Kylen Granson",PHI,"TE88","317","355","336.0","19.0","-"
"474",16,"Zach Evans",NYJ,"RB138","318","318","318.0","0.0","-"
"475",16,"Hassan Haskins",LAC,"RB139","319","319","319.0","0.0","-"
"476",16,"Jerick McKinnon",FA,"RB140","321","321","321.0","0.0","-"
"477",16,"Kendall Milton",CIN,"RB141","321","321","321.0","0.0","-"
"478",16,"Sterling Shepard",TB,"WR185","321","357","339.0","18.0","-"
"479",16,"Craig Reynolds",DET,"RB142","323","323","323.0","0.0","-"
"480",16,"Tanner Hudson",CIN,"TE89","325","325","325.0","0.0","-"
"481",16,"Tahj Washington",MIA,"WR186","328","328","328.0","0.0","-"
"482",16,"Parris Campbell",DAL,"WR187","333","333","333.0","0.0","-"
"483",16,"Kenny McIntosh",SEA,"RB143","341","341","341.0","0.0","-"
"484",16,"Ronnie Rivers",LAR,"RB144","342","342","342.0","0.0","-"
"485",16,"Tyler Goodson",IND,"RB145","345","345","345.0","0.0","-"
"486",16,"Frank Gore Jr.",BUF,"RB146","346","346","346.0","0.0","-"
"487",16,"DeeJay Dallas",ARI,"RB147","348","348","348.0","0.0","-"
"488",16,"Tanner McLachlan",CIN,"TE90","351","351","351.0","0.0","-"
"489",16,"Durham Smythe",CHI,"TE91","354","354","354.0","0.0","-"
"490",16,"Jalen Reagor",LAC,"WR188","358","358","358.0","0.0","-"
"491",16,"Ben Skowronek",PIT,"WR189","359","359","359.0","0.0","-"
"492",16,"Justin Watson",HOU,"WR190","360","360","360.0","0.0","-"
"493",16,"Tyquan Thornton",KC,"WR191","361","361","361.0","0.0","-"
"494",16,"Charlie Jones",CIN,"WR192","362","362","362.0","0.0","-"
"495",16,"Jamari Thrash",CLE,"WR193","363","363","363.0","0.0","-"
"496",16,"Ryan Flournoy",DAL,"WR194","364","364","364.0","0.0","-"
"497",16,"Ian Thomas",LV,"TE92","368","368","368.0","0.0","-"
"498",16,"Connor Heyward",PIT,"TE93","369","369","369.0","0.0","-"
"499",16,"Brock Wright",DET,"TE94","373","373","373.0","0.0","-"
"500",16,"Elijah Higgins",ARI,"TE95","375","375","375.0","0.0","-"
"501",16,"Skyy Moore",KC,"WR195","376","376","376.0","0.0","-"
"502",16,"Anthony Gould",IND,"WR196","378","378","378.0","0.0","-"
"503",16,"Braxton Berrios",HOU,"WR197","379","379","379.0","0.0","-"
"504",16,"Ronnie Bell",DET,"WR198","380","380","380.0","0.0","-"
"505",16,"Laviska Shenault Jr.",BUF,"WR199","381","381","381.0","0.0","-"
"506",16,"Cedrick Wilson Jr.",NO,"WR200","383","383","383.0","0.0","-"
"507",16,"Jason Brownlee",KC,"WR201","384","384","384.0","0.0","-"
"508",16,"Derius Davis",LAC,"WR202","385","385","385.0","0.0","-"
"509",16,"Rakim Jarrett",TB,"WR203","386","386","386.0","0.0","-"
"510",16,"Isaiah Williams",CIN,"WR204","387","387","387.0","0.0","-"
"511",16,"Justyn Ross",KC,"WR205","388","388","388.0","0.0","-"
"512",16,"Cameron Latu",PHI,"TE96","390","390","390.0","0.0","-"
"513",16,"Dallin Holker",NO,"TE97","392","392","392.0","0.0","-"
